Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9	Me-P10	Me-P11	Me-P12	Me-P13	Me-P14	Me-P15
11826.0031590412	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
11858.4031679596	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
11890.8031553906	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
11923.2031797715	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
11955.603178805	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
11988.0031736238	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12020.4031917481	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12052.8031776081	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12085.2032089213	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12117.6032102299	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12150.003222092	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12182.4032215056	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12214.8032287309	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12247.2032417172	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12279.6032407416	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12312.003242578	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12344.4032453717	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12376.803241726	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12409.2032676705	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12441.6032682275	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12474.0032711186	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12506.4032718684	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12538.8032753737	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12571.2032781183	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12603.6032655315	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12636.0032351287	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12668.4032797491	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12700.8032963425	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12733.20329848	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12765.603308622	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12798.0032899879	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12830.4033073673	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12862.8033206265	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12895.2033349177	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12927.6033248022	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12960.0033439932	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
12992.4033551793	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13024.803361376	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13057.203373196	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13089.6033674836	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13122.0033721932	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13154.4033759267	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13186.8033791263	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13219.203380445	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13251.6033821938	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13284.0033964757	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13316.4034041822	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13348.8034023346	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13381.2033968055	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13413.6034138108	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13446.0034152953	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13478.4034341835	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13510.8034324945	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13543.2034429043	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13575.6034564189	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13608.0034580556	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13640.4034398325	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
13672.8034624194	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13705.2034595535	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13737.6034660495	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13770.0034746766	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13802.4034716755	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13834.8034833616	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13867.2034949399	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13899.6034550572	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13932.0034918757	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13964.4034950647	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
13996.8035169102	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14029.2035174452	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14061.6035160574	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14094.0035145687	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14126.4035242961	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
