Time	Me-P1	Me-P2	Me-P0
48838.0351278586	32941.6577317311	6427901.85296861	651903.79211649
49877.8155567894	33223.6239918525	6437383.81033199	646085.529056128
51021.5740286132	33520.2771906903	6445133.74488078	639788.462314782
52279.7083476194	33830.7517497146	6450602.62519093	632985.375302407
53663.6560985263	34153.7525321082	6453156.79349956	625650.145465531
55185.9986245238	34487.4804726818	6452074.61773901	617758.438520694
56860.5754031211	34837.6602640823	6447912.70082442	609218.93375538
58702.6098595782	35197.2965165045	6438978.87514226	600043.207165308
59715.7288106295	35379.3023126976	6431453.97247905	595133.621919914
60830.159656786	35569.5044598711	6421614.13201539	589822.778800607
62056.0335875582	35766.9994182233	6409018.35140588	584087.873843302
63404.4949114076	35970.5420800883	6393168.68863206	577906.917289767
64887.8023676419	36178.4894163626	6373509.03330474	571259.282726494
66519.4405694996	36388.7414557665	6349425.91853655	564126.354063691
68314.2425915431	36605.5672726885	6321084.21835619	556422.651471254
70288.524815791	36822.3311189218	6287240.25918527	548166.837490366
71374.3800391273	36928.1684135488	6267053.82363095	543762.827712507
72568.8207847973	37036.1742263707	6243940.03956238	539007.100425807
73882.7056050342	37145.1576396778	6217506.23850983	533881.154921454
75327.9789072948	37253.6169585765	6187322.62311744	528367.515962963
76917.7795397816	37359.6964963928	6152923.99453145	522450.249289276
78666.5602355169	37461.1432547512	6113813.50473975	516115.56160635
80590.2190008259	37560.8767167025	6069864.22455948	509285.384471312
82706.2436426657	37652.8318176602	6020233.40797858	501982.795820537
83870.0571956776	37692.5372228365	5992210.46700458	498097.857218297
85150.2521039907	37729.4428811142	5961004.03230763	493909.279514687
86399.99999568	37758.4961817116	5930188.34865189	489909.535635014
86400	37758.4961817116	5930188.34865189	489909.535635014
