Time	Gag	Pol	Nef	Env	Vpr	Vpu	Vif	Rev	Tat
16808.4362765653	2879	142	137	70	593	27	8	0	0
16812.0362681394	2879	142	137	70	593	27	8	0	0
16815.6362654994	2879	142	137	70	593	27	8	0	0
16819.2362770572	2879	142	137	70	593	27	8	0	0
16822.8362909463	2879	142	137	70	593	27	8	0	0
16826.4363105857	2878	142	137	70	593	27	8	0	0
16830.0363241172	2877	142	137	70	593	27	8	0	0
16833.6363119008	2877	142	137	70	592	27	8	0	0
16837.2363139963	2877	142	137	70	592	27	8	0	0
16840.8363366528	2876	142	137	70	592	27	8	0	0
16844.4363428395	2876	142	137	70	592	27	8	0	0
16848.0363604098	2876	142	137	70	592	27	8	0	0
16851.6363582242	2876	142	137	70	592	27	8	0	0
16855.2363671367	2876	142	137	70	592	27	8	0	0
16858.8363648072	2876	142	137	70	592	27	8	0	0
16862.4363720118	2876	142	137	70	592	27	8	0	0
16866.0363783175	2876	142	137	70	592	27	8	0	0
16869.6363835449	2876	142	137	70	592	27	8	0	0
16873.2363903049	2875	142	137	70	592	27	8	0	0
16876.8363883377	2875	142	137	70	592	27	8	0	0
16880.4364054589	2875	142	137	70	591	27	8	0	0
16884.0364248311	2875	142	137	70	591	27	8	0	0
16887.6364276903	2875	142	137	70	591	27	8	0	0
16891.2364312178	2875	142	137	70	591	27	8	0	0
16894.8364501344	2874	142	137	70	591	27	8	0	0
16898.4364616449	2873	142	137	70	590	27	8	0	0
16902.0364485237	2873	142	137	70	590	27	8	0	0
16905.6364586983	2873	142	137	70	590	27	8	0	0
16909.2364660169	2872	142	137	70	590	27	8	0	0
16912.8364535763	2871	142	137	70	590	27	8	0	0
16916.4364722142	2871	142	137	70	590	27	8	0	0
16920.036472806	2870	142	137	70	590	27	8	0	0
16923.6364786654	2869	142	137	70	590	27	8	0	0
16927.2364771443	2869	142	137	70	590	27	8	0	0
16930.8364818548	2869	142	137	70	590	27	8	0	0
16934.4364843134	2869	142	137	70	590	27	8	0	0
16938.0365029723	2869	142	137	70	590	27	8	0	0
16941.6365035774	2867	142	137	70	590	27	8	0	0
16945.2365147786	2867	142	137	70	590	27	8	0	0
16948.8365180661	2867	142	137	70	590	27	8	0	0
16952.4365262229	2866	142	137	70	590	27	8	0	0
16956.0365316519	2866	142	137	70	590	27	8	0	0
16959.6365347823	2865	142	137	70	590	27	8	0	0
16963.2365394226	2862	142	137	70	590	27	8	0	0
16966.8365421192	2860	142	137	70	590	27	8	0	0
16970.4365460696	2860	142	137	70	590	27	8	0	0
16974.0365418751	2859	142	137	70	590	27	8	0	0
16977.636550928	2859	142	137	70	590	27	8	0	0
16981.2365497717	2858	142	137	70	590	27	8	0	0
16984.8365547664	2857	142	137	70	590	27	8	0	0
16988.4365563849	2857	142	137	70	590	27	8	0	0
16992.0365670729	2857	141	137	70	590	27	8	0	0
16995.6365688545	2856	141	137	70	590	27	8	0	0
16999.2365735658	2855	141	137	70	590	27	8	0	0
17002.8365779754	2855	141	137	70	590	27	8	0	0
17006.4365837389	2855	141	137	70	590	27	8	0	0
17010.0365760889	2854	141	137	70	590	27	8	0	0
17013.6365840722	2854	141	137	70	590	27	8	0	0
17017.2365931234	2854	141	137	70	590	27	8	0	0
17020.8365970775	2853	141	137	70	590	27	8	0	0
17024.4366004027	2853	141	137	70	590	27	8	0	0
17028.0366063505	2853	141	137	70	590	27	8	0	0
17031.6366080299	2852	141	137	70	590	27	8	0	0
17035.2366095806	2852	141	137	70	590	27	8	0	0
17038.8366250268	2852	141	137	70	590	27	8	0	0
17042.4366282927	2852	141	137	70	590	27	8	0	0
17046.0366337637	2852	141	137	70	590	27	8	0	0
17049.6366284653	2851	141	137	70	590	27	8	0	0
17053.2366372836	2851	141	137	70	590	27	8	0	0
17056.8366417819	2851	141	137	70	590	27	8	0	0
17060.4366501388	2851	141	137	70	590	27	8	0	0
17064.0366548417	2850	141	137	70	590	27	8	0	0
17067.6366579439	2850	141	137	70	590	27	8	0	0
17071.2366706902	2850	141	137	70	590	27	8	0	0
17074.836680606	2849	141	137	70	590	27	8	0	0
17078.4366857583	2848	141	137	70	590	27	8	0	0
17082.0366934853	2848	141	137	70	590	27	8	0	0
17085.6366951297	2848	141	137	70	590	27	8	0	0
17089.2366972552	2847	141	137	70	590	27	8	0	0
17092.8366932916	2847	141	137	70	590	27	8	0	0
17096.4367041364	2847	141	137	70	590	27	8	0	0
17100.0367024984	2847	141	137	70	590	27	8	0	0
17103.6367068955	2846	141	137	70	590	27	8	0	0
17107.2367070482	2846	141	137	70	590	27	8	0	0
17110.836716532	2846	141	137	70	590	27	8	0	0
17114.4367207443	2846	141	137	70	590	27	8	0	0
17118.0367160542	2845	141	137	70	590	27	8	0	0
17121.6367353784	2844	141	137	70	590	27	8	0	0
17125.2367366074	2843	141	137	70	590	27	8	0	0
17128.8367409759	2842	141	137	70	590	27	8	0	0
17132.4367267645	2841	141	137	70	590	27	8	0	0
17136.0367549619	2840	141	137	70	590	27	8	0	0
17139.636761414	2840	141	137	70	590	27	8	0	0
17143.2367641604	2840	141	137	70	590	27	8	0	0
17146.8367439564	2839	141	137	70	590	27	8	0	0
17150.4367721049	2839	141	137	70	590	27	8	0	0
17154.0367780715	2839	141	137	70	590	27	8	0	0
17157.6367793921	2839	141	137	70	590	27	8	0	0
17161.2367840623	2838	141	137	70	590	27	8	0	0
17164.836783013	2837	141	137	70	590	27	8	0	0
17168.4367935675	2837	141	137	70	590	27	8	0	0
17172.0368072112	2837	141	137	70	590	27	8	0	0
17175.6368035782	2837	141	137	70	590	27	8	0	0
17179.236812337	2836	141	137	70	590	27	8	0	0
17182.8368170539	2835	141	137	70	590	27	8	0	0
17186.4368167977	2835	141	137	70	590	27	8	0	0
17190.0368265894	2835	141	137	70	590	27	8	0	0
17193.6368329902	2835	141	137	70	590	27	8	0	0
17197.2368348455	2835	141	137	70	590	27	8	0	0
17200.8368353396	2835	141	137	70	590	27	8	0	0
17204.4368264341	2834	141	137	70	590	27	8	0	0
17208.0368602085	2834	141	137	70	590	27	8	0	0
17211.6368610825	2834	141	137	70	590	27	8	0	0
17215.2368612116	2834	141	137	70	590	27	8	0	0
17218.8368597187	2834	141	137	70	590	27	8	0	0
17222.43687386	2834	141	137	70	590	27	8	0	0
17226.0368836728	2834	141	137	70	590	27	8	0	0
17229.6368778682	2834	141	137	70	590	27	8	0	0
17233.2369075957	2833	141	137	70	590	27	8	0	0
17236.8369086294	2833	141	137	70	590	27	8	0	0
17240.4369296779	2833	141	137	70	590	27	8	0	0
17244.0369242517	2833	141	137	70	590	27	8	0	0
17247.6369349848	2833	141	137	70	590	27	8	0	0
17251.2369374075	2832	141	137	70	590	27	8	0	0
17254.836949101	2832	141	137	70	590	27	8	0	0
17258.4369474345	2830	141	137	70	590	27	8	0	0
17262.0369507998	2830	141	137	70	590	27	8	0	0
17265.6369585307	2830	141	137	70	590	27	8	0	0
17269.2369678865	2830	141	137	70	590	27	8	0	0
17272.8369739473	2829	141	137	70	590	27	8	0	0
17276.4369789432	2827	141	137	70	590	27	8	0	0
17280.0369830648	2827	141	137	70	589	27	8	0	0
17283.6369854122	2826	141	137	70	589	27	8	0	0
17287.2370042865	2825	141	137	70	589	27	8	0	0
17290.8370136488	2825	141	137	70	589	27	8	0	0
17294.4370120942	2824	141	137	70	589	27	8	0	0
17298.0370134036	2823	141	137	70	589	27	8	0	0
17301.637010995	2822	141	137	70	589	27	8	0	0
17305.2370138837	2822	141	137	70	589	27	8	0	0
17308.8370234033	2821	141	137	70	589	27	8	0	0
17312.437039628	2821	141	137	70	589	27	8	0	0
17316.0370411255	2821	141	137	70	589	27	8	0	0
17319.6370510983	2820	140	137	70	589	27	8	0	0
17323.2370523332	2819	140	137	70	589	27	8	0	0
17326.8370602964	2819	140	137	70	589	27	8	0	0
17330.4370652171	2819	140	137	70	589	27	8	0	0
17334.037073677	2819	140	137	70	589	27	8	0	0
17337.6370810356	2819	140	137	70	589	27	8	0	0
17341.2370862789	2819	140	137	70	589	27	8	0	0
17344.8370791863	2819	140	137	70	589	27	8	0	0
17348.4370911511	2819	140	137	70	589	27	8	0	0
17352.0370814195	2819	140	137	70	589	27	8	0	0
17355.6370877088	2817	140	137	70	589	27	8	0	0
17359.2371076057	2817	140	137	70	589	27	8	0	0
17362.8371192567	2816	140	137	70	589	27	8	0	0
17366.4371149491	2816	140	137	70	589	27	8	0	0
17370.0371282375	2815	140	137	70	589	27	8	0	0
17373.6371221222	2815	140	137	70	589	27	8	0	0
17377.2371274062	2815	139	137	70	589	27	8	0	0
17380.8371069641	2815	139	137	70	589	27	8	0	0
