Time	Me-P1	Me-P2	Me-P0
-185932.8	0	0	68712.7187405568
-185241.6	0	0	69018.9736742145
-184550.4	0	0	69325.1258701937
-183859.2	0	0	69631.175362823
-183168	0	0	69937.1222236988
-182476.8	0	0	70242.9664731717
-181785.6	0	0	70548.7081697462
-181094.4	0	0	70854.3473440355
-180403.2	0	0	71159.8840510974
-179712	0	0	71465.3183318904
-179020.8	0	0	71770.6502472177
-178329.6	0	0	72075.879813685
-177638.4	0	0	72381.0071044646
-176947.2	0	0	72686.0321503885
-176256	0	0	72990.9549906922
-175564.8	0	0	73295.7756760279
-174873.6	0	0	73600.4942432486
-174182.4	0	0	73905.1107555617
-173491.2	0	0	74209.6252331225
-172800	0	0	74514.0377486251
-172108.8	0	0	74818.3483365527
-171417.6	0	0	75122.5570332708
-170726.4	0	0	75426.6638857786
-170035.2	0	0	75730.6689416274
-169344	0	0	76034.5722450794
-168652.8	0	0	76338.3738470194
-167961.6	0	0	76642.0737844652
-167270.4	0	0	76945.6720980017
-166579.2	0	0	77249.1688299936
-165888	0	0	77552.5640466557
-165196.8	0	0	77855.8577670419
-164505.6	0	0	78159.0500590288
-163814.4	0	0	78462.1409371388
-163123.2	0	0	78765.1304814517
-162432	0	0	79068.0187002506
-161740.8	0	0	79370.8056714489
-161049.6	0	0	79673.4914068175
-160358.4	0	0	79976.0759805196
-159667.2	0	0	80278.5594255943
-158976	0	0	80580.9417814321
-158284.8	0	0	80883.2230823255
-157593.6	0	0	81185.4034029515
-156902.4	0	0	81487.4827525715
-156211.2	0	0	81789.4612142007
-155520	0	0	82091.3387903071
-154828.8	0	0	82393.1155513229
-154137.6	0	0	82694.7915333013
-153446.4	0	0	82996.3667835883
-152755.2	0	0	83297.8413603745
-152064	0	0	83599.2152612663
-151372.8	0	0	83900.4885882336
-150681.6	0	0	84201.6613428455
-149990.4	0	0	84502.7335760354
-149299.2	0	0	84803.7053457347
-148608	0	0	85104.5766997954
-147916.8	0	0	85405.3476740866
-147225.6	0	0	85706.0182944158
-146534.4	0	0	86006.5886319807
-145843.2	0	0	86307.0587065094
-145152	0	0	86607.4285896112
-144460.8	0	0	86907.6982997999
-143769.6	0	0	87207.8678903192
-143078.4	0	0	87507.9374079028
-142387.2	0	0	87807.9069005755
-141696	0	0	88107.7763773059
-141004.8	0	0	88407.5459393546
-140313.6	0	0	88707.2155796115
-139622.4	0	0	89006.7853469488
-138931.2	0	0	89306.2553686147
-138240	0	0	89605.6255479252
-137548.8	0	0	89904.8960291954
-136857.6	0	0	90204.0668186279
-136166.4	0	0	90503.1379703411
-135475.2	0	0	90802.1095252398
-134784	0	0	91100.9815179102
-134092.8	0	0	91399.754013003
-133401.6	0	0	91698.4270389862
-132710.4	0	0	91997.0006257013
-132019.2	0	0	92295.4748434713
-131328	0	0	92593.8497272189
-130636.8	0	0	92892.1253052286
-129945.6	0	0	93190.3016437468
-129254.4	0	0	93488.3787695871
-128563.2	0	0	93786.3567205338
-127872	0	0	94084.2356048069
-127180.8	0	0	94382.0153177876
-126489.6	0	0	94679.6960445346
-125798.4	0	0	94977.2777665237
-125107.2	0	0	95274.76055559
-124416	0	0	95572.1444276414
-123724.8	0	0	95869.42941378
-123033.6	0	0	96166.615629428
-122342.4	0	0	96463.7030391924
-121651.2	0	0	96760.6917170752
-120960	0	0	97057.5816949891
-120268.8	0	0	97354.3730229272
-119577.6	0	0	97651.0657489397
-118886.4	0	0	97947.6599163855
-118195.2	0	0	98244.1555589072
-117504	0	0	98540.5527253023
-116812.8	0	0	98836.8514555731
-116121.6	0	0	99133.0517869819
-115430.4	0	0	99429.1537670619
-114739.2	0	0	99725.1574517694
-114048	0	0	100021.062860299
-113356.8	0	0	100316.870061315
-112665.6	0	0	100612.57906159
-111974.4	0	0	100908.189932523
-111283.2	0	0	101203.702717939
-110592	0	0	101499.117442568
-109900.8	0	0	101794.434160546
-109209.6	0	0	102089.652899174
-108518.4	0	0	102384.773744491
-107827.2	0	0	102679.796662669
-107136	0	0	102974.721770632
-106444.8	0	0	103269.549076191
-105753.6	0	0	103564.278617413
-105062.4	0	0	103858.910448701
-104371.2	0	0	104153.444614496
-103680	0	0	104447.881150196
-102988.8	0	0	104742.220099824
-102297.6	0	0	105036.461500585
-101606.4	0	0	105330.605403148
-100915.2	0	0	105624.651839659
-100224	0	0	105918.60080417
-99532.8	0	0	106212.452512883
-98841.6	0	0	106506.206820309
-98150.4	0	0	106799.863842826
-97459.2	0	0	107093.423614942
-96768	0	0	107386.886185866
-96076.8	0	0	107680.251582907
-95385.6	0	0	107973.519854877
-94694.4	0	0	108266.691044325
-94003.2	0	0	108559.765201555
-93312	0	0	108852.742357537
-92620.8	0	0	109145.622557017
-91929.6	0	0	109438.40584063
-91238.4	0	0	109731.092247982
-90547.2	0	0	110023.681822097
-89856	0	0	110316.174631342
-89164.8	0	0	110608.570680526
-88473.6	0	0	110900.870013377
-87782.4	0	0	111193.072687947
-87091.2	0	0	111485.178735651
-86400	0	0	111777.188217241
-85708.8	0	0	112069.101152746
-85017.6	0	0	112360.917582284
-84326.4	0	0	112652.637568264
-83635.2	0	0	112944.261133608
-82944	0	0	113235.788330594
-82252.8	0	0	113527.219191474
-81561.6	0	0	113818.553762827
-80870.4	0	0	114109.792090216
-80179.2	0	0	114400.93419657
-79488	0	0	114691.980159152
-78796.8	0	0	114982.929983477
-78105.6	0	0	115273.783732171
-77414.4	0	0	115564.541439712
-76723.2	0	0	115855.203140739
-76032	0	0	116145.768891499
-75340.8	0	0	116436.238719667
-74649.6	0	0	116726.612675527
-73958.4	0	0	117016.890797936
-73267.2	0	0	117307.073111693
-72576	0	0	117597.159689487
-71884.8	0	0	117887.150542973
-71193.6	0	0	118177.045732336
-70502.4	0	0	118466.845301863
-69811.2	0	0	118756.549262853
-69120	0	0	119046.15769073
-68428.8	0	0	119335.670610139
-67737.6	0	0	119625.088061332
-67046.4	0	0	119914.410093346
-66355.2	0	0	120203.636739494
-65664	0	0	120492.768050789
-64972.8	0	0	120781.804050574
-64281.6	0	0	121070.744789897
-63590.4	0	0	121359.590322911
-62899.2	0	0	121648.340665076
-62208	0	0	121936.995865373
-61516.8	0	0	122225.555974272
-60825.6	0	0	122514.021038281
-60134.4	0	0	122802.391068838
-59443.2	0	0	123090.666134396
-58752	0	0	123378.846262503
-58060.8	0	0	123666.931489711
-57369.6	0	0	123954.921875305
-56678.4	0	0	124242.817447537
-55987.2	0	0	124530.61825331
-55296	0	0	124818.324320715
-54604.8	0	0	125105.935690729
-53913.6	0	0	125393.452425638
-53222.4	0	0	125680.874541848
-52531.2	0	0	125968.202095811
-51840	0	0	126255.435124649
-51148.8	0	0	126542.573650388
-50457.6	0	0	126829.617737696
-49766.4	0	0	127116.567411459
